index,日期,總處理廢棄物量,本市垃圾量小計,清潔隊清運量,自運一般垃圾量,一般事業垃圾量,災害廢棄物,污泥量,溝泥進場量,溝泥掩埋量,營建廢棄物,廚餘再利用量小計,其他有機廢棄物再利用量,堆肥廚餘再利用量,養豬廚餘再利用量,人口,物價指數
144,1998-01,108505.77,,93772.36,505.83,13330.69,,0.0,,,0.0,0.0,,0.0,0.0,2600118,83.51
145,1998-02,97869.14,,82806.38,517.94,13729.81,,0.0,,,0.0,0.0,,0.0,0.0,2601042,81.91
146,1998-03,99658.19,,84735.05,706.81,13405.35,,0.0,,,0.0,0.0,,0.0,0.0,2605761,82.16
147,1998-04,109487.75,,84924.7,8892.7,14798.22,,0.0,,,0.0,0.0,,0.0,0.0,2608827,82.36
148,1998-05,194288.77,,90793.48,85730.0,16727.08,,0.0,,,0.0,0.0,,0.0,0.0,2612246,82.54
149,1998-06,157241.43000000002,,86734.38,54063.32,15517.81,,0.0,,,0.0,0.0,,0.0,0.0,2622171,83.47
150,1998-07,100446.2,,82897.65,683.12,15976.43,,0.0,,,0.0,0.0,,0.0,0.0,2628310,83.0
151,1998-08,202532.78,,83065.41,101982.27,16568.44,,0.0,,,0.0,0.0,,0.0,0.0,2631230,82.52
152,1998-09,103104.14,,85097.69,593.66,16490.24,,0.0,,,0.0,0.0,,0.0,0.0,2633363,82.69
153,1998-10,113336.82,,94509.36,719.44,17130.19,,0.0,,,0.0,0.0,,0.0,0.0,2635524,83.09
154,1998-11,97322.23,,78925.0,1641.0,15923.0,,0.0,,,0.0,0.0,,0.0,0.0,2638565,83.71
155,1998-12,101255.21,,82420.0,509.0,17464.0,,0.0,,,0.0,0.0,,0.0,0.0,2639939,83.04
156,1999-01,104101.05999999998,,84982.89,511.34,17705.03,,0.0,,,0.0,0.0,,0.0,0.0,2640465,82.4
157,1999-02,102491.52,,85293.78,444.54,15735.15,,0.0,,,0.0,0.0,,0.0,0.0,2640102,84.06
158,1999-03,109001.0,,83939.9,5448.15,18628.3,,0.0,,,0.0,0.0,,0.0,0.0,2640285,81.76
159,1999-04,102102.02,,81099.22,748.35,19269.79,,0.0,,,0.0,0.0,,0.0,0.0,2640225,82.25
160,1999-05,115414.18,,88943.92,3368.4,22056.28,,0.0,,,0.0,0.0,,0.0,0.0,2640014,82.51
161,1999-06,119565.82,,94501.33,873.18,22991.65,,0.0,,,0.0,0.0,,0.0,0.0,2640322,82.91
162,1999-07,128839.97,,97978.59,890.25,28830.99,,0.0,,,0.0,0.0,,0.0,0.0,2640318,82.6
163,1999-08,125614.86,,97258.86,2612.21,24685.17,,0.0,,,0.0,0.0,,0.0,0.0,2639169,83.53
164,1999-09,115332.0,,90344.55,1924.37,22075.22,,0.0,,,0.0,0.0,,0.0,0.0,2638249,83.69
165,1999-10,118376.32,,90947.28,2194.48,24265.44,,0.0,,,0.0,0.0,,0.0,0.0,2638204,84.37
166,1999-11,115433.63,,85966.0,5512.0,23000.0,,0.0,,,0.0,0.0,,0.0,0.0,2639869,83.99
167,1999-12,117671.42,,87944.0,3571.0,25215.0,,0.0,,,0.0,0.0,,0.0,0.0,2641312,83.78
168,2000-01,123173.28,,93552.01,3316.48,25274.18,,0.0,,,0.0,0.0,,0.0,0.0,2643340,83.2
169,2000-02,109389.07,,84686.73,2818.88,20888.04,,0.0,,,0.0,0.0,,0.0,0.0,2645593,85.0
170,2000-03,111251.27,,86524.27,2458.63,21291.82,,0.0,,,0.0,0.0,,0.0,0.0,2646861,83.0
171,2000-04,107426.5,,83232.96,2341.08,20957.38,,0.0,,,0.0,0.0,,0.0,0.0,2647085,83.76
172,2000-05,121032.65,,94315.29,3135.1,22561.89,,0.0,,,0.0,0.0,,0.0,0.0,2646989,84.35
173,2000-06,116945.95,,91234.85,3155.35,21621.7,,0.0,,,0.0,0.0,,0.0,0.0,2646753,84.43
174,2000-07,90123.89,,57626.95,2909.33,28569.01,,0.0,,,0.0,0.0,,0.0,0.0,2647614,84.0
175,2000-08,95539.49,,63821.87,3376.12,27218.92,,0.0,,,0.0,0.0,,0.0,0.0,2646187,84.26
176,2000-09,86708.93000000001,,55144.64,3135.21,27400.22,,0.0,,,0.0,0.0,,0.0,0.0,2645314,85.2
177,2000-10,82748.05,,51576.38,1865.53,28352.36,,0.0,,,0.0,0.0,,0.0,0.0,2645456,85.38
178,2000-11,90325.46,,59074.0,2283.0,28035.0,,0.0,,,0.0,0.0,,0.0,0.0,2645979,85.83
179,2000-12,81238.29000000001,,50204.0,1776.0,28285.0,,0.0,,,0.0,0.0,,0.0,0.0,2646474,85.27
180,2001-01,113335.76,,84216.59,1661.88,26320.67,,0.0,,,0.0,0.0,,0.0,0.0,2647076,86.35
181,2001-02,77865.89,,50611.61,1952.92,24487.68,,0.0,,,0.0,0.0,,0.0,0.0,2645881,84.06
182,2001-03,86399.65000000001,,54471.99,2071.67,28973.11,,0.0,,,0.0,0.0,,0.0,0.0,2644602,83.97
183,2001-04,84352.62999999999,,52960.99,2374.87,28106.37,,0.0,,,0.0,0.0,,0.0,0.0,2643578,84.65
184,2001-05,94212.5,,56945.81,2896.13,33364.25,,0.0,,,0.0,0.0,,0.0,0.0,2641820,84.52
185,2001-06,87386.06999999999,,56267.61,1349.06,28723.2,,0.0,,,0.0,0.0,,0.0,0.0,2641036,84.55
186,2001-07,89199.70999999998,,55038.05,2071.2,31111.18,,0.0,,,0.0,0.0,,0.0,0.0,2639619,84.42
187,2001-08,85934.69,,53018.21,2441.64,29569.39,,0.0,,,0.0,0.0,,0.0,0.0,2636811,85.11
188,2001-09,204818.67,,174203.44,1746.23,27865.45,,0.0,,,0.0,0.0,,0.0,0.0,2634686,85.21
189,2001-10,145062.64,,115946.42,1709.19,26616.03,,0.0,,,0.0,0.0,,0.0,0.0,2634429,86.03
190,2001-11,102092.58,,74643.0,1979.0,24791.0,,0.0,,,0.0,0.0,,0.0,0.0,2634614,85.03
191,2001-12,78622.26000000001,,49684.0,1555.0,26651.0,,0.0,,,0.0,0.0,,0.0,0.0,2633802,84.09
